title,year_text,price,mileage,Գին_USD,Տարեթիվ,Վազք,Մակնիշ,Մեքենայի_տարիք
Hyundai Elantra,2023,$ 5 500,25513 մղոն,5500.0,2023.0,25513.0,Hyundai,2.0
Tesla Model 3,2019,$ 7 300,79406 մղոն,7300.0,2019.0,79406.0,Tesla,6.0
Nissan Sentra,2019,$ 2 200,109511 մղոն,2200.0,2019.0,109511.0,Nissan,6.0
Land Rover Range Rover,2019,$ 14 000,103744 մղոն,14000.0,2019.0,103744.0,Land,6.0
Audi Q5,2023,$ 15 500,18672 մղոն,15500.0,2023.0,18672.0,Audi,2.0
Honda Accord,2024,$ 13 000,4853 մղոն,13000.0,2024.0,4853.0,Honda,1.0
Nissan Maxima,2023,$ 8 000,31642 մղոն,8000.0,2023.0,31642.0,Nissan,2.0
Toyota Camry,2023,$ 11 300,36842 մղոն,11300.0,2023.0,36842.0,Toyota,2.0
Kia K5,2025,$ 10 500,17339 կմ,10500.0,2025.0,17339.0,Kia,0.0
Chevrolet Malibu,2023,$ 6 000,12271 մղոն,6000.0,2023.0,12271.0,Chevrolet,2.0
Chevrolet Equinox,2024,$ 8 400,7840 մղոն,8400.0,2024.0,7840.0,Chevrolet,1.0
Tesla Model 3,2020,$ 6 300,76197 մղոն,6300.0,2020.0,76197.0,Tesla,5.0
Chevrolet Bolt EV,2023,$ 7 300,22654 մղոն,7300.0,2023.0,22654.0,Chevrolet,2.0
Hyundai Santa Fe,2024,$ 12 500,10972 մղոն,12500.0,2024.0,10972.0,Hyundai,1.0
Ford Fusion,2020,$ 3 000,55655 մղոն,3000.0,2020.0,55655.0,Ford,5.0
Kia Niro,2024,$ 10 500,6508 մղոն,10500.0,2024.0,6508.0,Kia,1.0
Ford Fusion,2020,$ 3 000,55655 մղոն,3000.0,2020.0,55655.0,Ford,5.0
Toyota Bz4X,2023,$ 12 000,23771 մղոն,12000.0,2023.0,23771.0,Toyota,2.0
Kia Sportage,2023,$ 9 000,36868 մղոն,9000.0,2023.0,36868.0,Kia,2.0
Hyundai Kona,2018,$ 3 500,92018 մղոն,3500.0,2018.0,92018.0,Hyundai,7.0
Nissan Altima,2024,$ 10 000,57367 մղոն,10000.0,2024.0,57367.0,Nissan,1.0
Mercedes-Benz EQS SUV,2023,$ 33 000,25397 մղոն,33000.0,2023.0,25397.0,Mercedes-Benz,2.0
Tesla Model 3,2023,$ 10 500,47043 մղոն,10500.0,2023.0,47043.0,Tesla,2.0
Hyundai Elantra,2020,$ 3 100,82392 մղոն,3100.0,2020.0,82392.0,Hyundai,5.0
Kia Forte,2024,$ 8 100,36812 մղոն,8100.0,2024.0,36812.0,Kia,1.0
Nissan Versa,2025,$ 6 500,41296 մղոն,6500.0,2025.0,41296.0,Nissan,0.0
Kia Sportage,2022,$ 10 000,74266 մղոն,10000.0,2022.0,74266.0,Kia,3.0
Nissan Rogue,2021,$ 7 000,58139 մղոն,7000.0,2021.0,58139.0,Nissan,4.0
Kia Forte,2020,$ 4 000,36325 մղոն,4000.0,2020.0,36325.0,Kia,5.0
Toyota Camry,2023,$ 11 000,26070 մղոն,11000.0,2023.0,26070.0,Toyota,2.0
Nissan Sentra,2021,$ 5 000,48903 կմ,5000.0,2021.0,48903.0,Nissan,4.0
Jeep Compass,2023,$ 7 100,27210 մղոն,7100.0,2023.0,27210.0,Jeep,2.0
Jeep Grand Cherokee,2019,$ 8 500,59479 մղոն,8500.0,2019.0,59479.0,Jeep,6.0
Chevrolet Malibu,2024,$ 6 200,21357 մղոն,6200.0,2024.0,21357.0,Chevrolet,1.0
BMW i4,2024,€ 68 000,50 կմ,170.0,2024.0,50.0,BMW,1.0
Nissan Kicks,2021,$ 3 200,107784 մղոն,3200.0,2021.0,107784.0,Nissan,4.0
BMW X4,2019,$ 19 900,179982 մղոն,19900.0,2019.0,179982.0,BMW,6.0
Nissan Rogue,2025,$ 10 800,1239 մղոն,10800.0,2025.0,1239.0,Nissan,0.0
Nissan Maxima,2023,$ 7 500,13220 մղոն,7500.0,2023.0,13220.0,Nissan,2.0
Hyundai Sonata,2018,$ 3 600,34831 մղոն,3600.0,2018.0,34831.0,Hyundai,7.0
Toyota Corolla,2021,$ 7 000,34927 մղոն,7000.0,2021.0,34927.0,Toyota,4.0
Kia Forte,2023,$ 6 500,11500 մղոն,6500.0,2023.0,11500.0,Kia,2.0
Kia Forte,2021,$ 3 800,27027 կմ,3800.0,2021.0,27027.0,Kia,4.0
Mercedes-Benz S 63 AMG,2024,€ 277 500,50 կմ,693.75,2024.0,50.0,Mercedes-Benz,1.0
Porsche Cayenne,2021,€ 77 000,44800 կմ,192.5,2021.0,44800.0,Porsche,4.0
Cadillac CT6,2019,$ 11 000,49243 մղոն,11000.0,2019.0,49243.0,Cadillac,6.0
BYD SEA Lion 06,2025,$ 22 800,50 կմ,22800.0,2025.0,50.0,BYD,0.0
Kia Seltos,2022,$ 6 500,134024 մղոն,6500.0,2022.0,134024.0,Kia,3.0
Nissan Sentra,2019,$ 7 800,160000 մղոն,7800.0,2019.0,160000.0,Nissan,6.0
Kia Seltos,2021,$ 15 900,98000 կմ,15900.0,2021.0,98000.0,Kia,4.0
Hyundai Elantra,2021,$ 13 300,96560 կմ,13300.0,2021.0,96560.0,Hyundai,4.0
Mercedes-Benz C 180,1998,$ 5 500,357000 կմ,5500.0,1998.0,357000.0,Mercedes-Benz,27.0
Tesla Model Y,2023,$ 26 500,70000 կմ,26500.0,2023.0,70000.0,Tesla,2.0
BMW M8,2020,$ 110 000,58000 կմ,110000.0,2020.0,58000.0,BMW,5.0
Volkswagen Jetta,2008,$ 5 800,334000 կմ,5800.0,2008.0,334000.0,Volkswagen,17.0
Mercedes-Benz Viano,2011,$ 21 000,250000 կմ,21000.0,2011.0,250000.0,Mercedes-Benz,14.0
Porsche Panamera,2018,$ 65 000,30000 կմ,65000.0,2018.0,30000.0,Porsche,7.0
Opel Astra,2000,$ 3 500,60 կմ,3500.0,2000.0,60.0,Opel,25.0
Dodge Journey,2017,$ 12 500,129000 մղոն,12500.0,2017.0,129000.0,Dodge,8.0
Mercedes-Benz E 350,2007,$ 8 500,181 մղոն,8500.0,2007.0,181.0,Mercedes-Benz,18.0
Mazda CX5,2021,$ 36 500,10200 մղոն,36500.0,2021.0,10200.0,Mazda,4.0
Cadillac CT6,2020,$ 35 000,140000 կմ,35000.0,2020.0,140000.0,Cadillac,5.0
Tesla Model S,2014,$ 18 200,50000 մղոն,18200.0,2014.0,50000.0,Tesla,11.0
BMW 430,2022,$ 42 000,49000 կմ,42000.0,2022.0,49000.0,BMW,3.0
Toyota Land Cruiser Prado,2012,$ 28 500,143000 կմ,28500.0,2012.0,143000.0,Toyota,13.0
Mercedes-Benz C 220,1995,$ 5 500,385000 կմ,5500.0,1995.0,385000.0,Mercedes-Benz,30.0
Hyundai Elantra,2021,$ 19 500,95000 կմ,19500.0,2021.0,95000.0,Hyundai,4.0
Mercedes-Benz G 500,2002,$ 35 000,250000 կմ,35000.0,2002.0,250000.0,Mercedes-Benz,23.0
Lexus RX 350,2021,$ 45 000,10500 կմ,45000.0,2021.0,10500.0,Lexus,4.0
Toyota Land Cruiser Prado,2006,$ 19 500,174000 կմ,19500.0,2006.0,174000.0,Toyota,19.0
Toyota Camry,2018,$ 21 500,77000 կմ,21500.0,2018.0,77000.0,Toyota,7.0
Mercedes-Benz ML 350,2011,$ 13 900,273000 կմ,13900.0,2011.0,273000.0,Mercedes-Benz,14.0
Volvo V60,2015,$ 14 500,188000 կմ,14500.0,2015.0,188000.0,Volvo,10.0
Volkswagen Touareg,2011,$ 16 000,250000 կմ,16000.0,2011.0,250000.0,Volkswagen,14.0
Dongfeng EX1,2023,$ 6 900,100 կմ,6900.0,2023.0,100.0,Dongfeng,2.0
Lexus GX 460,2011,$ 35 900,92000 մղոն,35900.0,2011.0,92000.0,Lexus,14.0
Toyota Camry,2016,$ 19 900,132000 կմ,19900.0,2016.0,132000.0,Toyota,9.0
Kia Optima,2020,$ 15 700,52000 մղոն,15700.0,2020.0,52000.0,Kia,5.0
Kia Sorento,2018,$ 17 800,97000 մղոն,17800.0,2018.0,97000.0,Kia,7.0
Kia Sorento,2018,$ 17 800,60000 մղոն,17800.0,2018.0,60000.0,Kia,7.0
Land Rover Range Rover Sport,2014,$ 28 000,150000 կմ,28000.0,2014.0,150000.0,Land,11.0
Mercedes-Benz E 350,2013,$ 18 500,170000 կմ,18500.0,2013.0,170000.0,Mercedes-Benz,12.0
Nissan Rogue,2019,$ 14 000,83000 մղոն,14000.0,2019.0,83000.0,Nissan,6.0
Nissan Rogue,2019,$ 15 300,52000 մղոն,15300.0,2019.0,52000.0,Nissan,6.0
Mazda 6,2019,$ 17 000,57000 մղոն,17000.0,2019.0,57000.0,Mazda,6.0
BYD Song Plus,2024,$ 25 700,18500 կմ,25700.0,2024.0,18500.0,BYD,1.0
Mazda CX5,2021,$ 16 000,80000 կմ,16000.0,2021.0,80000.0,Mazda,4.0
Kia Seltos,2022,$ 5 500,47400 կմ,5500.0,2022.0,47400.0,Kia,3.0
Ford Transit,2001,֏ 2 900 000,300000 կմ,7250.0,2001.0,300000.0,Ford,24.0
Honda CR-V,2024,$ 35 000,64000 կմ,35000.0,2024.0,64000.0,Honda,1.0
Kia Optima,2019,$ 15 000,180246 կմ,15000.0,2019.0,180246.0,Kia,6.0
VAZ (Lada) 2121 NIVA (4x4),2007,$ 4 800,167000 կմ,4800.0,2007.0,167000.0,VAZ,18.0
VAZ (Lada) 2121 NIVA (4x4),2014,$ 8 200,130000 կմ,8200.0,2014.0,130000.0,VAZ,11.0
Jeep Wrangler,2022,$ 42 000,30000 մղոն,42000.0,2022.0,30000.0,Jeep,3.0
Jeep Wrangler,2016,$ 18 000,90000 մղոն,18000.0,2016.0,90000.0,Jeep,9.0
Nissan Rogue,2019,$ 18 500,33000 մղոն,18500.0,2019.0,33000.0,Nissan,6.0
Mercedes-Benz G 63 AMG,2014,$ 63 000,140000 կմ,63000.0,2014.0,140000.0,Mercedes-Benz,11.0
Hyundai Kona,2019,$ 13 800,78000 մղոն,13800.0,2019.0,78000.0,Hyundai,6.0
Mercedes-Benz G 63 AMG,2015,$ 75 000,137000 կմ,75000.0,2015.0,137000.0,Mercedes-Benz,10.0
Toyota Camry,2008,$ 9 000,280000 կմ,9000.0,2008.0,280000.0,Toyota,17.0
Jaguar XE,2016,$ 14 000,120000 կմ,14000.0,2016.0,120000.0,Jaguar,9.0
Mercedes-Benz GL 450,2012,$ 20 000,190000 կմ,20000.0,2012.0,190000.0,Mercedes-Benz,13.0
Ford Mustang,2022,$ 29 500,47000 կմ,29500.0,2022.0,47000.0,Ford,3.0
Lexus RX 350,2017,$ 33 500,80000 կմ,33500.0,2017.0,80000.0,Lexus,8.0
Toyota Land Cruiser 200,2018,$ 69 999,100000 կմ,69999.0,2018.0,100000.0,Toyota,7.0
Mazda 6,2019,$ 22 000,50000 կմ,22000.0,2019.0,50000.0,Mazda,6.0
Zeekr 7X,2025,֏ 19 960 000,34 կմ,49900.0,2025.0,34.0,Zeekr,0.0
Kia Forte,2022,$ 17 000,51000 կմ,17000.0,2022.0,51000.0,Kia,3.0
Kia Seltos,2022,$ 5 700,107500 կմ,5700.0,2022.0,107500.0,Kia,3.0
Kia Forte,2019,$ 15 500,51000 մղոն,15500.0,2019.0,51000.0,Kia,6.0
Mercedes-Benz C 240,1997,$ 5 950,179000 կմ,5950.0,1997.0,179000.0,Mercedes-Benz,28.0
Toyota Corolla,2012,$ 11 800,160000 կմ,11800.0,2012.0,160000.0,Toyota,13.0
Mercedes-Benz C 240,1997,$ 5 900,180000 կմ,5900.0,1997.0,180000.0,Mercedes-Benz,28.0
Toyota Corolla,2012,$ 11 700,150000 կմ,11700.0,2012.0,150000.0,Toyota,13.0
Kia Forte,2019,$ 15 500,50000 մղոն,15500.0,2019.0,50000.0,Kia,6.0
Toyota Camry,2021,$ 22 500,15818 կմ,22500.0,2021.0,15818.0,Toyota,4.0
Mercedes-Benz G 500,2016,$ 65 000,165000 կմ,65000.0,2016.0,165000.0,Mercedes-Benz,9.0
Mercedes-Benz S 550,2016,$ 45 000,160000 կմ,45000.0,2016.0,160000.0,Mercedes-Benz,9.0
Dodge Grand Caravan,1999,$ 4 500,200000 մղոն,4500.0,1999.0,200000.0,Dodge,26.0
Opel Astra,1998,$ 3 500,500000 կմ,3500.0,1998.0,500000.0,Opel,27.0
Kia Seltos,2021,$ 21 000,32000 կմ,21000.0,2021.0,32000.0,Kia,4.0
Lexus GX 460,2017,֏ 18 000 000,60000 մղոն,45000.0,2017.0,60000.0,Lexus,8.0
Zeekr 7X,2025,֏ 19 810 000,34 կմ,49525.0,2025.0,34.0,Zeekr,0.0
Volkswagen iD.6,2022,$ 26 500,42000 կմ,26500.0,2022.0,42000.0,Volkswagen,3.0
Toyota Corolla,2017,$ 15 500,128000 կմ,15500.0,2017.0,128000.0,Toyota,8.0
Volkswagen Vento,1995,֏ 600 000,50853 կմ,1500.0,1995.0,50853.0,Volkswagen,30.0
Kia Forte,2022,$ 15 400,49000 մղոն,15400.0,2022.0,49000.0,Kia,3.0
Kia Seltos,2020,$ 6 800,56000 կմ,6800.0,2020.0,56000.0,Kia,5.0
Volkswagen Touareg,2005,$ 6 800,250000 կմ,6800.0,2005.0,250000.0,Volkswagen,20.0
BMW X5,2017,$ 34 900,190000 կմ,34900.0,2017.0,190000.0,BMW,8.0
Mercedes-Benz E 300,2017,$ 31 000,80000 մղոն,31000.0,2017.0,80000.0,Mercedes-Benz,8.0
Honda Accord,2022,$ 7 800,41861 մղոն,7800.0,2022.0,41861.0,Honda,3.0
Kia EV6,2023,$ 11 000,22379 մղոն,11000.0,2023.0,22379.0,Kia,2.0
Mercedes-Benz CLA 250,2020,$ 13 000,61402 մղոն,13000.0,2020.0,61402.0,Mercedes-Benz,5.0
Volkswagen Golf,2024,$ 20 000,2692 մղոն,20000.0,2024.0,2692.0,Volkswagen,1.0
Porsche Macan,2024,€ 98 500,50 կմ,246.25,2024.0,50.0,Porsche,1.0
Nissan Rogue,2021,$ 3 600,36731 մղոն,3600.0,2021.0,36731.0,Nissan,4.0
Toyota Camry,2020,$ 6 900,84563 մղոն,6900.0,2020.0,84563.0,Toyota,5.0
Hyundai Kona,2020,$ 3 600,60102 մղոն,3600.0,2020.0,60102.0,Hyundai,5.0
Porsche Taycan,2022,€ 80 000,4150 կմ,200.0,2022.0,4150.0,Porsche,3.0
Kia Seltos,2024,$ 7 000,15429 մղոն,7000.0,2024.0,15429.0,Kia,1.0
Toyota Highlander,2021,$ 18 000,59294 մղոն,18000.0,2021.0,59294.0,Toyota,4.0
Kia Forte,2024,$ 7 000,7701 մղոն,7000.0,2024.0,7701.0,Kia,1.0
Mazda CX 50,2025,$ 10 000,19379 կմ,10000.0,2025.0,19379.0,Mazda,0.0
BMW X7,2021,$ 35 000,44819 մղոն,35000.0,2021.0,44819.0,BMW,4.0
Lexus IS 350 F Sport,2022,$ 14 000,30009 մղոն,14000.0,2022.0,30009.0,Lexus,3.0
Nissan Versa,2024,$ 5 100,17565 մղոն,5100.0,2024.0,17565.0,Nissan,1.0
Audi Q5,2021,$ 13 000,49859 մղոն,13000.0,2021.0,49859.0,Audi,4.0
Kia Rio,2020,$ 2 500,38156 մղոն,2500.0,2020.0,38156.0,Kia,5.0
Audi S8/R8,2020,$ 36 000,28148 մղոն,36000.0,2020.0,28148.0,Audi,5.0
Hyundai Santa Fe,2024,$ 9 500,40708 մղոն,9500.0,2024.0,40708.0,Hyundai,1.0
Toyota Bz4X,2024,$ 10 500,19133 մղոն,10500.0,2024.0,19133.0,Toyota,1.0
Chevrolet Volt,2013,$ 2 200,129647 մղոն,2200.0,2013.0,129647.0,Chevrolet,12.0
Cadillac Lyriq,2024,$ 14 000,47734 մղոն,14000.0,2024.0,47734.0,Cadillac,1.0
Chevrolet Volt,2015,$ 2 600,96101 մղոն,2600.0,2015.0,96101.0,Chevrolet,10.0
BMW i3,2021,$ 6 300,7995 մղոն,6300.0,2021.0,7995.0,BMW,4.0
Chevrolet Volt,2018,$ 3 300,64095 մղոն,3300.0,2018.0,64095.0,Chevrolet,7.0
Jeep Compass,2019,$ 3 900,30078 մղոն,3900.0,2019.0,30078.0,Jeep,6.0
Tesla Model Y,2023,$ 11 800,34228 մղոն,11800.0,2023.0,34228.0,Tesla,2.0
Audi A5,2021,$ 9 500,59106 մղոն,9500.0,2021.0,59106.0,Audi,4.0
Audi A5,2024,$ 12 500,19745 կմ,12500.0,2024.0,19745.0,Audi,1.0
Audi e-tron GT,2023,$ 24 500,16632 մղոն,24500.0,2023.0,16632.0,Audi,2.0
Nissan Sentra,2019,$ 2 500,39426 կմ,2500.0,2019.0,39426.0,Nissan,6.0
Audi A6,2021,$ 11 700,52900 մղոն,11700.0,2021.0,52900.0,Audi,4.0
Kia Forte,2022,$ 5 700,37690 մղոն,5700.0,2022.0,37690.0,Kia,3.0
Hyundai Kona,2019,$ 4 000,84391 կմ,4000.0,2019.0,84391.0,Hyundai,6.0
Toyota Camry,2019,$ 9 000,66790 մղոն,9000.0,2019.0,66790.0,Toyota,6.0
Jeep Compass,2022,$ 7 100,46233 մղոն,7100.0,2022.0,46233.0,Jeep,3.0
Mazda 2,2010,$ 6 500,110 կմ,6500.0,2010.0,110.0,Mazda,15.0
Tesla Model 3,2022,$ 11 500,56766 մղոն,11500.0,2022.0,56766.0,Tesla,3.0
Hyundai Kona,2020,$ 4 000,52266 մղոն,4000.0,2020.0,52266.0,Hyundai,5.0
Hyundai Elantra,2024,$ 8 500,81847 մղոն,8500.0,2024.0,81847.0,Hyundai,1.0
Chevrolet Blazer,2024,$ 9 700,42756 մղոն,9700.0,2024.0,42756.0,Chevrolet,1.0
Lexus RZ 450e,2024,$ 16 000,5657 մղոն,16000.0,2024.0,5657.0,Lexus,1.0
Honda Accord,2018,$ 18 000,184000 կմ,18000.0,2018.0,184000.0,Honda,7.0
Toyota Camry,2019,$ 6 500,44228 մղոն,6500.0,2019.0,44228.0,Toyota,6.0
Kia Sportage,2020,$ 5 500,57696 մղոն,5500.0,2020.0,57696.0,Kia,5.0
Chevrolet Malibu,2018,$ 3 000,112919 մղոն,3000.0,2018.0,112919.0,Chevrolet,7.0
Toyota Corolla,2020,$ 5 000,47094 մղոն,5000.0,2020.0,47094.0,Toyota,5.0
Toyota Camry,2020,$ 8 000,50745 մղոն,8000.0,2020.0,50745.0,Toyota,5.0
Fisker Ocean One,2023,$ 9 400,16061 մղոն,9400.0,2023.0,16061.0,Fisker,2.0
Hyundai Ioniq,2023,$ 16 000,5330 մղոն,16000.0,2023.0,5330.0,Hyundai,2.0
Cadillac Escalade,2026,$ 65 000,403 մղոն,65000.0,2026.0,403.0,Cadillac,-1.0
Porsche Taycan,2023,€ 88 000,8500 կմ,220.0,2023.0,8500.0,Porsche,2.0
Toyota Camry,2024,$ 38 000,150 կմ,38000.0,2024.0,150.0,Toyota,1.0
Jeep Compass,2022,$ 5 000,22146 մղոն,5000.0,2022.0,22146.0,Jeep,3.0
Cadillac Lyriq,2024,$ 14 500,11706 մղոն,14500.0,2024.0,11706.0,Cadillac,1.0
Ford Mustang,2025,$ 17 000,1021 մղոն,17000.0,2025.0,1021.0,Ford,0.0
Nissan Kicks,2021,$ 5 500,115760 մղոն,5500.0,2021.0,115760.0,Nissan,4.0
Kia Forte,2023,$ 5 000,7095 մղոն,5000.0,2023.0,7095.0,Kia,2.0
Mazda 6,2019,$ 6 200,56216 մղոն,6200.0,2019.0,56216.0,Mazda,6.0
Kia Forte,2020,$ 3 300,32968 մղոն,3300.0,2020.0,32968.0,Kia,5.0
Kia Forte,2021,$ 4 000,61072 մղոն,4000.0,2021.0,61072.0,Kia,4.0
Lexus IS 350 F Sport,2020,$ 12 000,42040 մղոն,12000.0,2020.0,42040.0,Lexus,5.0
Ford F150,2022,$ 63 000,32000 կմ,63000.0,2022.0,32000.0,Ford,3.0
Toyota Rav 4,2022,$ 10 000,56464 մղոն,10000.0,2022.0,56464.0,Toyota,3.0
Kia K5,2024,$ 12 300,15899 մղոն,12300.0,2024.0,15899.0,Kia,1.0
Kia K5,2025,$ 12 500,1309 մղոն,12500.0,2025.0,1309.0,Kia,0.0
Toyota Rav 4,2019,$ 10 000,38058 մղոն,10000.0,2019.0,38058.0,Toyota,6.0
Toyota Land Cruiser 200,2012,$ 38 500,290000 կմ,38500.0,2012.0,290000.0,Toyota,13.0
Mercedes-Benz E 200,2019,$ 29 000,198000 կմ,29000.0,2019.0,198000.0,Mercedes-Benz,6.0
Ford Fusion,2020,$ 2 300,92375 մղոն,2300.0,2020.0,92375.0,Ford,5.0
Nissan Altima,2020,$ 5 500,84371 մղոն,5500.0,2020.0,84371.0,Nissan,5.0
Kia K5,2022,$ 5 500,29165 մղոն,5500.0,2022.0,29165.0,Kia,3.0
Hyundai Elantra,2024,$ 8 500,10996 կմ,8500.0,2024.0,10996.0,Hyundai,1.0
Hyundai Elantra,2023,$ 8 000,15385 մղոն,8000.0,2023.0,15385.0,Hyundai,2.0
Jeep Compass,2022,$ 5 800,16546 մղոն,5800.0,2022.0,16546.0,Jeep,3.0
Jeep Renegade,2019,$ 3 000,47610 մղոն,3000.0,2019.0,47610.0,Jeep,6.0
Hyundai Elantra,2022,$ 4 500,75078 մղոն,4500.0,2022.0,75078.0,Hyundai,3.0
Cadillac XT4,2020,$ 6 000,53104 մղոն,6000.0,2020.0,53104.0,Cadillac,5.0
Nissan Rogue,2020,$ 3 100,50772 մղոն,3100.0,2020.0,50772.0,Nissan,5.0
Porsche Macan,2024,€ 109 000,50 կմ,272.5,2024.0,50.0,Porsche,1.0
Porsche Macan,2021,$ 18 000,46108 մղոն,18000.0,2021.0,46108.0,Porsche,4.0
Hyundai Kona,2021,$ 4 000,20112 մղոն,4000.0,2021.0,20112.0,Hyundai,4.0
Audi R8,2021,$ 65 000,3846 մղոն,65000.0,2021.0,3846.0,Audi,4.0
Honda Accord,2021,$ 9 000,70742 մղոն,9000.0,2021.0,70742.0,Honda,4.0
Kia Optima,2020,$ 6 700,41248 մղոն,6700.0,2020.0,41248.0,Kia,5.0
Audi Q8,2020,$ 22 000,92870 մղոն,22000.0,2020.0,92870.0,Audi,5.0
Hyundai Santa Fe,2023,$ 10 800,39820 մղոն,10800.0,2023.0,39820.0,Hyundai,2.0
Hyundai Santa Fe,2021,$ 6 800,117405 մղոն,6800.0,2021.0,117405.0,Hyundai,4.0
Fisker Ocean One,2023,$ 9 000,27094 մղոն,9000.0,2023.0,27094.0,Fisker,2.0
Toyota Corolla,2020,$ 4 000,49189 մղոն,4000.0,2020.0,49189.0,Toyota,5.0
Hyundai Elantra,2018,$ 3 100,78540 մղոն,3100.0,2018.0,78540.0,Hyundai,7.0
Hyundai Santa Fe,2020,$ 7 000,120345 մղոն,7000.0,2020.0,120345.0,Hyundai,5.0
Cadillac Lyriq,2024,$ 13 500,10300 մղոն,13500.0,2024.0,10300.0,Cadillac,1.0
Hyundai Santa Fe,2023,$ 11 000,16968 մղոն,11000.0,2023.0,16968.0,Hyundai,2.0
Hyundai Sonata,2019,$ 3 500,93323 մղոն,3500.0,2019.0,93323.0,Hyundai,6.0
Toyota Camry,2018,$ 6 600,81156 մղոն,6600.0,2018.0,81156.0,Toyota,7.0
Nissan Versa,2020,$ 2 500,75548 մղոն,2500.0,2020.0,75548.0,Nissan,5.0
Hyundai Elantra,2023,$ 6 500,56749 մղոն,6500.0,2023.0,56749.0,Hyundai,2.0
Honda Accord,2023,$ 9 500,24378 մղոն,9500.0,2023.0,24378.0,Honda,2.0
Toyota Bz4X,2025,$ 9 500,4140 մղոն,9500.0,2025.0,4140.0,Toyota,0.0
Nissan Sentra,2019,$ 2 000,59377 մղոն,2000.0,2019.0,59377.0,Nissan,6.0
Mazda 6,2020,$ 19 000,60000 կմ,19000.0,2020.0,60000.0,Mazda,5.0
Chevrolet Volt,2015,$ 2 600,63432 մղոն,2600.0,2015.0,63432.0,Chevrolet,10.0
BMW 330,2018,$ 4 500,47478 մղոն,4500.0,2018.0,47478.0,BMW,7.0
Tesla Model Y,2021,$ 10 500,81827 մղոն,10500.0,2021.0,81827.0,Tesla,4.0
Land Rover Range Rover Evoque,2020,$ 13 900,76652 մղոն,13900.0,2020.0,76652.0,Land,5.0
Lexus RZ 450e,2023,$ 13 500,31942 մղոն,13500.0,2023.0,31942.0,Lexus,2.0
Hyundai Santa Fe,2021,$ 9 000,55691 մղոն,9000.0,2021.0,55691.0,Hyundai,4.0
Hyundai Kona,2021,$ 4 500,59154 մղոն,4500.0,2021.0,59154.0,Hyundai,4.0
Toyota Corolla,2020,$ 5 500,66974 մղոն,5500.0,2020.0,66974.0,Toyota,5.0
Hyundai Elantra,2019,$ 2 700,50456 մղոն,2700.0,2019.0,50456.0,Hyundai,6.0
Nissan Leaf,2018,$ 3 200,52474 մղոն,3200.0,2018.0,52474.0,Nissan,7.0
Hyundai Elantra,2024,$ 10 000,47059 մղոն,10000.0,2024.0,47059.0,Hyundai,1.0
Nissan Leaf,2018,$ 2 700,67124 մղոն,2700.0,2018.0,67124.0,Nissan,7.0
Chevrolet Equinox,2025,$ 9 400,3690 մղոն,9400.0,2025.0,3690.0,Chevrolet,0.0
Chevrolet Equinox,2025,$ 8 700,7716 մղոն,8700.0,2025.0,7716.0,Chevrolet,0.0
Nissan Sentra,2019,$ 1 700,153390 մղոն,1700.0,2019.0,153390.0,Nissan,6.0
Hyundai Elantra,2020,$ 4 000,55824 մղոն,4000.0,2020.0,55824.0,Hyundai,5.0
Kia Forte,2023,$ 6 000,39415 մղոն,6000.0,2023.0,39415.0,Kia,2.0
Audi Q7,2021,$ 20 000,28652 մղոն,20000.0,2021.0,28652.0,Audi,4.0
Ford Escape,2020,$ 4 500,94062 կմ,4500.0,2020.0,94062.0,Ford,5.0
Ford Expedition,2024,$ 22 000,18141 մղոն,22000.0,2024.0,18141.0,Ford,1.0
Mitsubishi Eclipse Cross,2022,$ 6 500,58617 մղոն,6500.0,2022.0,58617.0,Mitsubishi,3.0
Kia Forte,2021,$ 4 600,52253 մղոն,4600.0,2021.0,52253.0,Kia,4.0
Kia Forte,2020,$ 3 000,59473 մղոն,3000.0,2020.0,59473.0,Kia,5.0
Nissan Altima,2020,$ 4 500,98401 մղոն,4500.0,2020.0,98401.0,Nissan,5.0
Kia Forte,2024,$ 6 500,44176 մղոն,6500.0,2024.0,44176.0,Kia,1.0
Kia Forte,2024,$ 6 200,31732 մղոն,6200.0,2024.0,31732.0,Kia,1.0
Kia Forte,2019,$ 3 000,67404 մղոն,3000.0,2019.0,67404.0,Kia,6.0
Kia Forte,2023,$ 7 000,33111 մղոն,7000.0,2023.0,33111.0,Kia,2.0
Mercedes-Benz GLC 300,2020,$ 18 000,50173 մղոն,18000.0,2020.0,50173.0,Mercedes-Benz,5.0
Jeep Compass,2022,$ 5 200,25760 մղոն,5200.0,2022.0,25760.0,Jeep,3.0
Chevrolet Cruze,2017,$ 9 200,97000 կմ,9200.0,2017.0,97000.0,Chevrolet,8.0
Tesla Model S,2022,$ 13 300,55339 մղոն,13300.0,2022.0,55339.0,Tesla,3.0
BMW 328,2010,$ 7 500,200000 կմ,7500.0,2010.0,200000.0,BMW,15.0
Chevrolet Bolt EV,2020,$ 5 200,79233 մղոն,5200.0,2020.0,79233.0,Chevrolet,5.0
Hyundai Tucson,2021,$ 5 500,11224 մղոն,5500.0,2021.0,11224.0,Hyundai,4.0
Mercedes-Benz GLC 300,2023,$ 32 000,15158 մղոն,32000.0,2023.0,15158.0,Mercedes-Benz,2.0
Nissan Leaf,2019,$ 3 600,50887 մղոն,3600.0,2019.0,50887.0,Nissan,6.0
